d,glon,glat
0.13,158.48641,0.47187
0.22,36.16128,-57.11823
0.37,158.92265,17.85600
0.39,26.90020,4.41500
0.41,60.83604,-3.69623
0.45,220.36342,-53.93359
0.5,118.86345,-74.70908
0.51,80.35552,-10.40937
0.53,318.46265,41.49967
0.54,205.13863,14.24122
0.55,165.53375,-15.28839
0.56,85.36590,52.34926
0.58,339.89643,88.45726
0.58,222.13666,3.91850
0.62,219.13294,31.29050
0.62,255.81859,10.94001
0.63,136.38080,5.55255
0.63,221.58841,46.37071
0.66,227.32013,12.93431
0.68,215.57024,-30.85473
0.7,283.90335,9.72581
0.7,259.15001,0.94080
0.74,63.17009,13.97818
0.75,72.66262,-17.15192
0.78,261.05096,32.05009
0.79,128.04869,-4.06866
0.81,255.32107,-59.62009
0.83,138.13345,4.11932
0.83,197.40507,-6.44225
0.85,107.72769,7.80878
0.86,215.69872,3.62138
0.87,148.48945,57.04999
0.88,8.07584,3.90484
0.89,41.84076,-2.98746
0.89,144.56011,6.55077
0.91,46.83177,3.84476
0.92,84.92983,-3.49648
0.92,272.11394,12.39732
0.93,294.11356,43.62538
0.95,258.50889,-1.28878
0.97,93.41323,5.49265
1.01,104.20753,-29.64162
1.03,19.84203,-23.78173
1.05,6.76760,-2.25246
1.06,130.93430,-10.50391
1.07,349.36177,-4.22338
1.1,215.72260,-3.98610
1.11,307.20599,-3.45240
1.12,25.41798,-4.71344
1.12,335.58395,12.44773
1.12,217.17512,14.75247
1.15,120.01620,9.86807
1.15,120.27740,-5.38766
1.15,69.47555,-2.62239
1.17,238.02233,34.86425
1.17,349.50850,1.05584
1.17,15.50040,2.82440
1.19,329.07875,1.95714
1.19,106.55958,-17.60132
1.19,149.49955,-9.27663
1.19,164.80645,31.18096
1.22,45.74897,-4.58867
1.22,248.70776,29.53962
1.23,312.14709,0.37140
1.23,38.71114,1.97215
1.24,316.35739,8.84550
1.26,107.84365,2.31518
1.26,332.91517,-9.90835
1.27,158.80215,37.17946
1.28,215.21198,-24.28369
1.28,33.15871,-6.38744
1.3,136.09865,4.93398
1.3,197.87843,17.40022
1.32,341.84400,5.43856
1.32,342.18147,10.85296
1.32,236.51209,2.00821
1.36,129.61201,3.44956
1.34,283.67199,25.31413
1.34,245.19141,-5.57000
1.35,314.58359,-1.07140
1.37,244.60298,12.56388
1.37,2.71149,-52.44003
1.4,302.12881,0.33890
1.4,359.35674,-0.97993
1.4,83.56175,12.79227
1.41,107.03578,21.38399
1.41,29.07837,0.45429
1.43,283.44611,-1.39450
1.44,17.30518,-21.97183
1.36,37.76235,-34.57151
1.45,349.35187,-1.11527
1.45,7.73143,1.22486
1.46,173.77600,-5.87240
1.46,13.34100,1.18233
1.48,321.04827,3.98846
1.49,317.13804,-5.71543
1.52,36.05432,-1.36653
1.52,64.78540,5.01941
1.53,84.99777,4.48809
1.53,268.96846,-0.48650
1.54,138.81678,2.80450
